episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,50.0,6,,crane
1,0,0.0,3,16.0,crane
2,1,100.0,13,,crane
3,-1,,3,,crane
4,0,0.0,3,15.0,crane
5,-1,,3,,crane
6,0,0.0,8,21.0,crane
7,0,0.0,5,15.0,crane
8,1,50.0,9,,crane
9,1,50.0,3,,crane
10,1,20.0,3,,crane
11,-1,,3,,crane
12,1,20.0,3,,crane
13,1,30.0,15,,crane
14,0,0.0,9,9.0,crane
15,1,100.0,0,,crane
16,1,30.0,6,,crane
17,1,20.0,9,,crane
18,1,50.0,3,,crane
19,0,0.0,5,9.0,crane
20,1,30.0,5,,crane
21,1,30.0,0,,crane
22,1,100.0,20,,crane
23,1,100.0,3,,crane
24,0,0.0,6,9.0,crane
25,1,30.0,6,,crane
26,0,0.0,3,16.0,crane
27,1,50.0,6,,crane
28,0,0.0,8,11.0,crane
29,0,0.0,3,15.0,crane
