episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0.0,0,9.0,house
1,0,0.0,6,9.0,house
2,1,50.0,5,,house
3,1,50.0,8,,house
4,1,30.0,8,,house
5,0,0.0,5,15.0,house
6,1,50.0,8,,house
7,1,30.0,3,,house
8,0,0.0,3,20.0,house
9,1,30.0,3,,house
10,0,0.0,8,13.0,house
11,0,0.0,5,11.0,house
12,0,0.0,5,9.0,house
13,-1,,5,,house
14,1,20.0,6,,house
15,1,50.0,3,,house
16,0,0.0,3,11.0,house
17,1,50.0,3,,house
18,1,30.0,3,,house
19,0,0.0,5,9.0,house
20,1,20.0,3,,house
21,1,50.0,0,,house
22,0,0.0,8,20.0,house
23,1,30.0,3,,house
24,0,0.0,0,11.0,house
25,0,0.0,3,11.0,house
26,-1,,3,,house
27,0,0.0,6,13.0,house
28,1,30.0,5,,house
29,-1,,5,,house
