episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,30.0,3,,audio
1,1,100.0,25,,audio
2,0,0.0,3,16.0,audio
3,1,100.0,3,,audio
4,0,0.0,6,10.0,audio
5,0,0.0,11,21.0,audio
6,0,0.0,0,11.0,audio
7,1,20.0,3,,audio
8,0,0.0,0,13.0,audio
9,1,30.0,8,,audio
10,0,0.0,6,9.0,audio
11,0,0.0,9,11.0,audio
12,-1,,6,,audio
13,1,50.0,3,,audio
14,1,100.0,0,,audio
15,1,20.0,3,,audio
16,1,50.0,3,,audio
17,1,20.0,3,,audio
18,1,20.0,3,,audio
19,-1,,6,,audio
20,1,50.0,8,,audio
21,1,20.0,3,,audio
22,0,0.0,3,20.0,audio
23,1,50.0,3,,audio
24,0,0.0,3,13.0,audio
25,-1,,3,,audio
26,0,0.0,8,16.0,audio
27,-1,,3,,audio
28,0,0.0,0,10.0,audio
29,-1,,6,,audio
