episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0,8,12.0,slate
1,1,30,3,,slate
2,1,50,15,,slate
3,1,30,5,,slate
4,1,50,0,,slate
5,1,30,6,,slate
6,1,50,8,,slate
7,0,0,13,15.0,slate
8,1,30,3,,slate
9,0,0,6,12.0,slate
10,1,20,11,,slate
11,0,0,6,11.0,slate
12,1,30,6,,slate
13,0,0,10,20.0,slate
14,1,20,3,,slate
15,1,50,8,,slate
16,0,0,6,13.0,slate
17,1,50,3,,slate
18,0,0,5,13.0,slate
19,1,100,8,,slate
20,1,100,5,,slate
21,0,0,3,11.0,slate
22,1,20,5,,slate
23,1,100,11,,slate
24,0,0,6,9.0,slate
25,0,0,3,12.0,slate
26,0,0,9,13.0,slate
27,1,30,5,,slate
28,1,20,5,,slate
29,0,0,6,15.0,slate
