episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,20,3,,adieu
1,1,100,14,,adieu
2,0,0,6,14.0,adieu
3,1,50,0,,adieu
4,1,20,3,,adieu
5,0,0,6,10.0,adieu
6,0,0,5,18.0,adieu
7,1,50,3,,adieu
8,0,0,5,16.0,adieu
9,0,0,6,20.0,adieu
10,0,0,6,11.0,adieu
11,0,0,8,9.0,adieu
12,0,0,3,15.0,adieu
13,0,0,6,20.0,adieu
14,1,30,3,,adieu
15,1,20,3,,adieu
16,1,50,8,,adieu
17,0,0,8,20.0,adieu
18,0,0,5,15.0,adieu
19,0,0,3,6.0,adieu
20,1,100,6,,adieu
21,1,30,3,,adieu
22,0,0,3,20.0,adieu
23,1,50,3,,adieu
24,0,0,3,9.0,adieu
25,0,0,8,20.0,adieu
26,0,0,6,9.0,adieu
27,1,50,3,,adieu
28,0,0,3,11.0,adieu
29,0,0,3,8.0,adieu
