episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,50,8,,slate
1,0,0,3,8.0,slate
2,1,100,15,,slate
3,1,50,5,,slate
4,1,30,0,,slate
5,1,30,6,,slate
6,1,50,8,,slate
7,0,0,13,15.0,slate
8,1,20,3,,slate
9,0,0,6,12.0,slate
10,1,50,11,,slate
11,0,0,6,21.0,slate
12,1,50,6,,slate
13,1,20,10,,slate
14,1,20,3,,slate
15,0,0,8,16.0,slate
16,1,100,6,,slate
17,1,100,3,,slate
18,1,30,5,,slate
19,1,20,8,,slate
20,1,100,5,,slate
21,1,30,3,,slate
22,1,50,5,,slate
23,0,0,11,12.0,slate
24,1,30,6,,slate
25,1,30,3,,slate
26,0,0,9,16.0,slate
27,1,30,5,,slate
28,0,0,5,20.0,slate
29,1,30,6,,slate
