episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0,8,11.0,slate
1,0,0,3,9.0,slate
2,1,100,15,,slate
3,1,30,5,,slate
4,1,30,0,,slate
5,1,50,6,,slate
6,1,100,8,,slate
7,1,20,13,,slate
8,1,50,3,,slate
9,0,0,6,12.0,slate
10,1,100,11,,slate
11,1,20,6,,slate
12,1,50,6,,slate
13,0,0,10,20.0,slate
14,1,100,3,,slate
15,0,0,8,16.0,slate
16,0,0,6,9.0,slate
17,1,50,3,,slate
18,1,30,5,,slate
19,1,50,8,,slate
20,1,100,5,,slate
21,0,0,3,18.0,slate
22,1,30,5,,slate
23,0,0,11,13.0,slate
24,0,0,6,9.0,slate
25,1,50,3,,slate
26,0,0,9,15.0,slate
27,1,30,5,,slate
28,0,0,5,20.0,slate
29,0,0,6,15.0,slate
