episode,target,adieu,audio,house,apple,crane,slate
0,party,2.92,2.56,3.4,5.77,4.68,7.43
1,audio,12.66,13.66,6.83,5.4,3.43,3.94
2,place,4.24,2.56,4.48,11.34,10.85,9.41
3,month,3.68,3.03,8.14,2.5,4.96,6.79
4,forum,3.98,5.74,8.85,2.5,4.73,3.91
5,today,5.74,9.96,4.64,2.7,3.43,6
6,three,4.25,3.51,7.68,4.31,6.44,7.55
7,staff,2.92,2.56,3.31,2.7,5.33,8.57
8,never,4.25,3.51,3.27,2.73,7.17,3.96
9,until,6.55,8.8,4.81,4.67,4.96,8.11
10,squat,5.16,5.66,6.45,2.7,3.43,8.71
11,voila,6.61,9.41,4.64,,3.43,5.28
12,loyal,2.92,4.77,4.64,4.61,3.43,5.28
13,graze,4.24,2.56,4.48,5.56,8.75,7.41
14,bench,3.51,3.51,6.79,2.73,9.85,3.96
15,silly,4.19,3.38,3.31,5.68,3.04,7.62
16,linen,5.73,3.38,3.27,4.69,5.16,5.7
17,infer,5.73,3.38,3.27,2.73,7.17,3.96
18,sniff,5.13,3.38,3.31,2.5,4.96,5.61
19,koala,2.92,4.77,4.64,6.4,5.33,8.34
20,guava,5.16,6.38,4.81,2.7,5.33,6.18
21,imply,4.19,3.38,3.4,12.08,3.04,5.54
22,crone,3.51,3.03,6.87,4.31,12.66,4.9
23,pasta,2.92,2.56,3.31,,3.43,7.45
24,rally,2.92,2.56,3.4,6.4,4.68,5.28
25,viper,5.73,3.38,3.27,7.32,4.33,3.96
26,tubal,5.16,6.38,4.81,4.61,3.43,7.75
27,scrum,3.98,5.21,5,2.5,8.41,5.61
28,verve,3.51,3.51,4.48,4.31,6.44,4.9
29,topaz,2.92,4.77,4.64,8.02,3.43,6
