episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,0,0.0,3,9.0,adieu
1,1,100.0,14,,adieu
2,1,20.0,6,,adieu
3,0,0.0,0,13.0,adieu
4,1,20.0,3,,adieu
5,0,0.0,6,11.0,adieu
6,0,0.0,5,18.0,adieu
7,0,0.0,3,15.0,adieu
8,0,0.0,5,13.0,adieu
9,1,30.0,6,,adieu
10,0,0.0,6,15.0,adieu
11,0,0.0,8,14.0,adieu
12,0,0.0,3,9.0,adieu
13,1,30.0,6,,adieu
14,0,0.0,3,18.0,adieu
15,1,20.0,3,,adieu
16,0,0.0,8,9.0,adieu
17,-1,,8,,adieu
18,0,0.0,5,12.0,adieu
19,0,0.0,3,9.0,adieu
20,1,30.0,6,,adieu
21,1,30.0,3,,adieu
22,0,0.0,3,20.0,adieu
23,1,50.0,3,,adieu
24,0,0.0,3,11.0,adieu
25,0,0.0,8,13.0,adieu
26,-1,,6,,adieu
27,1,50.0,3,,adieu
28,1,30.0,3,,adieu
29,0,0.0,3,11.0,adieu
