episode,outcome,main_score,initial_closeness,lost_with_closeness,opening_guess
0,1,30.0,6,,apple
1,1,30.0,5,,apple
2,1,100.0,14,,apple
3,1,50.0,0,,apple
4,0,0.0,0,11.0,apple
5,0,0.0,3,15.0,apple
6,1,20.0,5,,apple
7,0,0.0,3,15.0,apple
8,1,30.0,3,,apple
9,1,20.0,3,,apple
10,1,30.0,3,,apple
11,0,0.0,3,12.0,crane
12,-1,,6,,apple
13,0,0.0,8,20.0,apple
14,1,50.0,3,,apple
15,1,30.0,5,,apple
16,1,30.0,6,,apple
17,0,0.0,3,20.0,apple
18,0,0.0,0,15.0,apple
19,1,100.0,8,,apple
20,1,20.0,3,,apple
21,0,0.0,10,9.0,apple
22,0,0.0,5,16.0,apple
23,1,100.0,3,,crane
24,1,30.0,8,,apple
25,0,0.0,8,15.0,apple
26,0,0.0,6,11.0,apple
27,1,30.0,0,,apple
28,0,0.0,5,14.0,apple
29,-1,,8,,apple
